Wall time,Step,Value
1556162242.763805,85600,1.2836597306886688e-05
1556162281.8410497,86500,9.590783520252444e-06
1556162333.262383,87700,6.264520834520226e-06
1556162398.4074407,89200,1.2688825336226728e-05
1556162425.0959308,89800,7.234090844576713e-06
1556162438.1593525,90100,1.2673913261096459e-05
1556162463.6601055,90700,6.915112862770911e-06
1556162571.587783,93100,8.181853445421439e-06
1556162597.4275365,93700,6.151150955702178e-06
1556162623.4841268,94300,6.518258942378452e-06
1556162650.3566573,94900,8.065519978117663e-06
1556162809.9384823,98500,6.3072288867260795e-06
1556162835.9279227,99100,1.2999644241062924e-05
1556162848.8687038,99400,6.355495315801818e-06
1556162887.8517044,100300,6.166489583847579e-06
1556162900.8033218,100600,1.0255213055643253e-05
1556162952.373645,101800,9.936512469721492e-06
1556162966.2589245,102100,7.54840357330977e-06
1556162979.4286296,102400,7.04298508935608e-06
1556163018.4735138,103300,5.60345279154717e-06
1556163030.8946352,103600,4.823051767743891e-06
1556163057.3344493,104200,6.861361725896131e-06
1556163070.4855497,104500,6.596091225219425e-06
1556163097.2847996,105100,6.112581104389392e-06
1556163177.4115644,106900,9.363744538859464e-06
1556163191.2010412,107200,5.754840003646677e-06
1556163217.9242496,107800,5.643008080369327e-06
1556163231.5106664,108100,8.085190529527608e-06
1556163257.925671,108700,2.0187955669825897e-05
1556163283.6532178,109300,5.401896487455815e-06
1556163310.267286,109900,4.123567578062648e-06
1556163323.86059,110200,5.206014066061471e-06
1556163337.0160193,110500,5.819915713800583e-06
1556163350.1690803,110800,4.946402896166546e-06
1556163377.1722798,111400,6.30480781182996e-06
1556163430.3667912,112600,4.564240498439176e-06
1556163484.6973145,113800,6.0586589825106785e-06
1556163497.9768932,114100,3.714167178259231e-06
1556163525.0027213,114700,7.531539267802145e-06
1556163539.1990929,115000,7.844366336939856e-06
1556163552.876805,115300,6.853509603388375e-06
1556163565.7359014,115600,3.934803316951729e-06
1556163579.1717668,115900,3.6715871374326525e-06
1556163724.997336,119200,2.663977738848189e-06
1556163777.498362,120400,2.5983306386478944e-06
1556163790.7105272,120700,2.6768191219161963e-06
1556163884.914419,122800,3.3711180549289566e-06
1556163910.968563,123400,3.3196065487572923e-06
1556163963.333946,124600,4.827272277907468e-06
1556164002.6320515,125500,3.846191702905344e-06
1556164081.5180454,127300,2.8059234864485916e-06
1556164093.970993,127600,3.471922809694661e-06
1556164107.4506009,127900,3.423994257900631e-06
1556164173.4584658,129400,3.112333160970593e-06
1556164199.8045185,130000,2.0463626242417376e-06
1556164212.3672318,130300,2.3265988602361176e-06
1556164265.3624604,131500,2.6453560622030636e-06
1556164291.8615696,132100,3.7279385196598014e-06
1556164330.870055,133000,3.847924745059572e-06
1556164354.331434,133300,2.219216412413516e-06
1556164380.7872422,133900,2.68609596787428e-06
1556164393.7594426,134200,4.7726634875289164e-06
1556164459.1780713,135700,2.7915627924812725e-06
1556164499.1803186,136600,2.234839030279545e-06
1556164512.4989002,136900,2.861351731553441e-06
1556164566.0985093,138100,6.5088088376796804e-06
1556164646.7824636,139900,3.710450073413085e-06
1556164791.3120537,143200,2.6228326532873325e-06
1556164804.0843406,143500,2.9386956157395616e-06
1556164843.5869133,144400,4.420766799739795e-06
1556164877.73124,145000,1.9237731976318173e-06
1556164929.6185994,146200,3.3304277167189866e-06
1556164943.7959428,146500,1.9262499790784204e-06
1556165010.4492373,148000,3.3657740914350143e-06
1556165048.7106304,148900,6.808930265833624e-06
1556165088.1313736,149800,3.1422587198903784e-06
1556165101.1916702,150100,2.246462827315554e-06
1556165153.7295501,151300,1.8985413134942064e-06
1556165179.4020834,151900,2.397846174062579e-06
1556165265.7825825,153700,1.7743985836204956e-06
1556165279.0134323,154000,1.5896864624664886e-06
1556165291.4447057,154300,1.4993838703958318e-06
1556165330.5527868,155200,1.2676605365413707e-06
1556165343.3733997,155500,1.1865288342960412e-06
1556165394.6855247,156700,1.1169555591550306e-06
1556165417.8143182,157000,3.0138569400151027e-06
1556165430.884913,157300,2.4137548280123156e-06
1556165514.1361182,159100,1.1495449143694714e-06
1556165528.033626,159400,1.3003258345634094e-06
1556165566.7597523,160300,1.5180146419879748e-06
1556165593.096138,160900,1.2524811836556182e-06
1556165631.9254246,161800,1.3576197943621082e-06
1556165663.105946,162400,1.7028190768542117e-06
1556165684.6507208,163000,9.85125780061935e-07
1556165749.4110503,164500,1.084810037355055e-06
1556165761.5383768,164800,1.1612119124038145e-06
1556165774.8152199,165100,1.6695107660780195e-06
1556165787.7747736,165400,1.4518091120407917e-06
1556165800.6490417,165700,1.7984724536290742e-06
1556165813.5740373,166000,1.137400204243022e-06
1556165943.0369625,169000,1.1955182799283648e-06
1556165983.058053,169900,1.4484439816442318e-06
1556166047.4589534,171400,1.0923156423814362e-06
1556166073.5966065,172000,2.9626639843627345e-06
1556166111.6772618,172900,1.3985422810947057e-06
1556166124.5782762,173200,1.2111572686990257e-06
1556166151.0846221,173800,2.9193793125159573e-06
1556166164.2698972,174100,2.351086550334003e-06
1556166241.2333121,175900,1.4830261534370948e-06
1556166267.3694608,176500,1.489601800130913e-06
1556166319.4760518,177700,1.0243959422950866e-06
1556166447.8590984,180700,1.3201013189245714e-06
1556166486.2213311,181600,1.412652522958524e-06
1556166512.599636,182200,2.804682253554347e-06
1556166563.682348,183400,1.196332505060127e-06
1556166602.3547082,184300,2.8804261091863737e-06
1556166706.79434,186700,1.0000624115491519e-06
1556166784.7048907,188500,1.7062941424228484e-06
1556166901.1750517,191200,2.7064033929491416e-06
1556166978.5212033,193000,8.957816817201092e-07
1556166991.554145,193300,1.1105460089311237e-06
1556167056.266799,194800,1.2500381671998184e-06
1556167082.2042933,195400,9.801318583413376e-07
1556167134.5206485,196600,1.184327288683562e-06
1556167159.874405,197200,1.7134128711404628e-06
1556167185.7851863,197800,1.287582449549518e-06
1556167198.6855817,198100,3.1164681786322035e-06
1556167237.5530756,199000,2.3622926619282225e-06
1556167250.3130114,199300,6.779322120564757e-06
1556167276.0524278,199900,1.0666449270502198e-06
1556167302.0407362,200500,2.039471837633755e-06
1556167328.107206,201100,1.3356604995351518e-06
1556167341.1245792,201400,3.7368549783423077e-06
1556167444.7390697,203800,1.4801834140598658e-06
1556167484.6709406,204700,1.1473596259747865e-06
1556167575.9559624,206800,2.1591690710920375e-06
1556167588.7556918,207100,9.730813417263562e-07
1556167601.3080845,207400,1.0277732371832826e-06
1556167665.9649317,208900,1.6263173847619328e-06
1556167717.4526658,210100,2.76594528259011e-06
1556167782.9419854,211600,1.772828227331047e-06
1556167808.941891,212200,1.184571146950475e-06
1556167900.5024943,214300,1.478335775573214e-06
1556167990.4348102,216400,1.3577785011875676e-06
1556168029.0721529,217300,1.0448093235027045e-06
1556168042.2189689,217600,1.3617185459224856e-06
1556168054.9530551,217900,1.939748017321108e-06
1556168067.3617005,218200,9.76347223513585e-07
1556168159.098994,220300,1.0915592838500743e-06
