Wall time,Step,Value
1556158536.671168,1000,0.0488835945725441
1556158563.0198956,1600,0.04339427500963211
1556158601.5521922,2500,0.0333210751414299
1556158717.395404,5200,0.011841862462460995
1556158769.3197672,6400,0.00713819544762373
1556158807.9120033,7300,0.005100086331367493
1556158846.1848533,8200,0.008392451331019402
1556158872.2334464,8800,0.005980744957923889
1556158988.054382,11500,0.0020682676695287228
1556159027.0407987,12400,0.002738690935075283
1556159040.062671,12700,0.0020885432604700327
1556159155.2585874,15400,0.0009840175043791533
1556159193.7943802,16300,0.002456509508192539
1556159219.886871,16900,0.0009526917128823698
1556159233.1347196,17200,0.0028660583775490522
1556159258.9016144,17800,0.0034217522479593754
1556159401.1905944,21100,0.0012703074607998133
1556159543.6895704,24400,0.001178419915959239
1556159556.7414837,24700,0.001655635773204267
1556159569.6223557,25000,0.0018951278179883957
1556159621.556243,26200,0.0012549496022984385
1556159659.562382,27100,0.0009336615912616253
1556159672.5371706,27400,0.0014567640610039234
1556159762.8634331,29500,0.00037399152643047273
1556159853.3122957,31600,0.00017729720275383443
1556159865.831371,31900,6.928214861545712e-05
1556159878.8451858,32200,7.413842104142532e-05
1556159969.483563,34300,3.6745193938259035e-05
1556160126.3078458,37900,0.0002144265890819952
1556160165.2482793,38800,0.0006495515117421746
1556160203.1455314,39700,0.0004000128246843815
1556160216.1404815,40000,0.0006772626074962318
1556160310.147484,42100,0.0002907703456003219
1556160335.6690643,42700,0.00023927929578348994
1556160555.665424,47800,0.00012850062921643257
1556160568.6361053,48100,0.00020988460164517164
1556160581.8625333,48400,0.0006263719405978918
1556160698.8716624,51100,0.00017230641969945282
1556160750.5875673,52300,0.00023846470867283642
1556160763.6092455,52600,0.00013140923692844808
1556160879.2968006,55300,0.0001504643150838092
1556160891.778104,55600,0.00020244471670594066
1556160931.0454464,56500,0.00021451115026138723
1556160995.4115007,58000,1.8018396076513454e-05
1556161007.5445364,58300,2.3745027647237293e-05
1556161085.4098482,60100,1.2594779036589898e-05
1556161098.315357,60400,2.392110036453232e-05
1556161175.9604297,62200,8.704664651304483e-06
1556161216.641171,63100,2.750631028902717e-05
1556161282.8974848,64600,4.620995605364442e-05
1556161335.3652523,65800,2.1180594558245502e-05
1556161348.423463,66100,2.7214369765715674e-05
1556161390.9359481,67000,1.4307457604445517e-05
1556161404.7058494,67300,1.1672722393996082e-05
1556161478.6234176,68800,3.0395633075386286e-05
1556161557.5523493,70600,0.0006967015797272325
1556161571.333366,70900,0.00011699291644617915
1556161584.5130713,71200,0.00045643560588359833
1556161597.127633,71500,0.00037917561712674797
1556161649.4628475,72700,0.0007568185101263225
1556161688.6936321,73600,8.629559306427836e-05
1556161714.3292353,74200,0.00020961118570994586
1556161882.159092,78100,0.00013526623661164194
1556161933.5106018,79300,0.00021265263785608113
1556162084.9664176,82600,0.000515881460160017
1556162110.355131,83200,0.0009158842731267214
1556162123.039597,83500,5.718132888432592e-05
1556162148.626896,84100,0.00012333925405982882
1556162161.6145918,84400,7.72278435761109e-05
1556162215.7678533,85600,5.567166954278946e-05
1556162254.8807507,86500,1.8468415873940103e-05
1556162305.2572632,87700,1.2385233276290819e-05
1556162372.563546,89200,9.591837624611799e-06
1556162398.5677922,89800,1.9702230929397047e-05
1556162411.405013,90100,9.176159437629394e-06
1556162436.479436,90700,8.936911399359815e-06
1556162539.2025933,93100,5.999346285534557e-06
1556162565.0045497,93700,5.335215973900631e-06
1556162590.6876378,94300,8.00932502897922e-06
1556162616.447058,94900,1.5574834833387285e-05
1556162772.800096,98500,7.084821845637634e-05
1556162798.9606829,99100,5.184195288165938e-06
1556162812.0077577,99400,6.984224455663934e-06
1556162851.0434196,100300,8.429181434621569e-06
1556162863.9145784,100600,3.361140215929481e-06
1556162914.5156293,101800,8.246166544267908e-06
1556162927.3997855,102100,1.1565456588868983e-05
